last_name,first_name,state,filing_year
Merkley,Jeff,OR,2026
Messmer,Mark B.,IN,2025
Meuser,Daniel,PA,2025
Mfume,Kweisi,MD,2025
Miller,Carol D.,WV,2025
Miller,Mary E.,IL,2025
Miller,Max L.,OH,2025
Miller-Meeks,Mariannette,IA,2025
Mills,Cory,FL,2025
Min,Dave,CA,2025
Moody,Ashley,FL,2026
Moolenaar,John R.,MI,2025
Moore,Barry,AL,2025
Moore,Blake D.,UT,2025
Moore,Gwen,WI,2025
Moore,Riley M.,WV,2025
Moore,Tim,NC,2025
Moran,Jerry,KS,2026
Moran,Nathaniel,TX,2025
Morelle,Joseph D.,NY,2025
Moreno,Bernie,OH,2026
Morrison,Kelly,MN,2025
Moskowitz,Jared,FL,2025
Moulton,Seth,MA,2025
Moylan,James C.,GU,2025
Mrvan,Frank J.,IN,2025
Mullin,Kevin,CA,2025
Murkowski,Lisa,AK,2026
Murphy,Christopher,CT,2026
Murphy,Gregory F.,NC,2025
Murray,Patty,WA,2026
Nadler,Jerrold,NY,2025
Neal,Richard E.,MA,2025
Neguse,Joe,CO,2025
Nehls,Troy E.,TX,2025
Newhouse,Dan,WA,2025
Norcross,Donald,NJ,2025
Norman,Ralph,SC,2025
Norton,Eleanor Holmes,DC,2025
Nunn,Zachary,IA,2025
Obernolte,Jay,CA,2025
Ocasio-Cortez,Alexandria,NY,2025
Ogles,Andrew,TN,2025
Olszewski,Johnny,MD,2025
Omar,Ilhan,MN,2025
Onder,Robert F.,MO,2025
Ossoff,Jon,GA,2026
Owens,Burgess,UT,2025
Padilla,Alex,CA,2026
Pallone,Frank,NJ,2025
Palmer,Gary J.,AL,2025
Panetta,Jimmy,CA,2025
Pappas,Chris,NH,2025
Patronis,Jimmy,FL,2025
Paul,Rand,KY,2026
Pelosi,Nancy,CA,2025
Gluesenkamp Perez,Marie,WA,2025
Perry,Scott,PA,2025
Peters,Gary C.,MI,2026
Peters,Scott H.,CA,2025
Pettersen,Brittany,CO,2025
Pfluger,August,TX,2025
Pingree,Chellie,ME,2025
Plaskett,Stacey E.,VI,2025
Pocan,Mark,WI,2025
Pou,Nellie,NJ,2025
Pressley,Ayanna,MA,2025
Quigley,Mike,IL,2025
Ramirez,Delia C.,IL,2025
Randall,Emily,WA,2025
Raskin,Jamie,MD,2025
Reed,Jack,RI,2026
Reschenthaler,Guy,PA,2025
Ricketts,Pete,NE,2026
Riley,Josh,NY,2025
Risch,James E.,ID,2026
Rivas,Luz M.,CA,2025
Rogers,Harold,KY,2025
Rogers,Mike D.,AL,2025
Rose,John W.,TN,2025
Rosen,Jacky,NV,2026
Ross,Deborah K.,NC,2025
Rounds,Mike,SD,2026
Rouzer,David,NC,2025
Roy,Chip,TX,2025
Ruiz,Raul,CA,2025
Rulli,Michael A.,OH,2025
Rutherford,John H.,FL,2025
Ryan,Patrick,NY,2025
Salazar,Maria Elvira,FL,2025
Salinas,Andrea,OR,2025
Sanders,Bernard,VT,2026
Scalise,Steve,LA,2025
Scanlon,Mary Gay,PA,2025
Schakowsky,Janice D.,IL,2025
Schatz,Brian,HI,2026
Schiff,Adam B.,CA,2026
Schmidt,Derek,KS,2025
Schmitt,Eric,MO,2026
Schneider,Bradley Scott,IL,2025
Scholten,Hillary J.,MI,2025
Schrier,Kim,WA,2025
Schumer,Charles E.,NY,2026
Schweikert,David,AZ,2025
Scott,Austin,GA,2025
Scott,Rick,FL,2026
Scott,"Robert C. ""Bobby""",VA,2025
Scott,Tim,SC,2026
Self,Keith,TX,2025
Sessions,Pete,TX,2025
Sewell,Terri A.,AL,2025
Shaheen,Jeanne,NH,2026
Sheehy,Tim,MT,2026
Sherman,Brad,CA,2025
Shreve,Jefferson,IN,2025
Simon,Lateefah,CA,2025
Simpson,Michael K.,ID,2025
Slotkin,Elissa,MI,2026
Smith,Adam,WA,2025
Smith,Adrian,NE,2025
Smith,Christopher H.,NJ,2025
Smith,Jason,MO,2025
Smith,Tina,MN,2026
Smucker,Lloyd,PA,2025
Sorensen,Eric,IL,2025
Soto,Darren,FL,2025
Spartz,Victoria,IN,2025
Stansbury,Melanie A.,NM,2025
Stanton,Greg,AZ,2025
Stauber,Pete,MN,2025
Stefanik,Elise M.,NY,2025
Steil,Bryan,WI,2025
Steube,W. Gregory,FL,2025
Stevens,Haley M.,MI,2025
Strickland,Marilyn,WA,2025
Strong,Dale W.,AL,2025
Stutzman,Marlin A.,IN,2025
Subramanyam,Suhas,VA,2025
Sullivan,Dan,AK,2026
Suozzi,Thomas R.,NY,2025
Sykes,Emilia Strong,OH,2025
Sanchez,Linda T.,CA,2025
Takano,Mark,CA,2025
Taylor,David J.,OH,2025
Tenney,Claudia,NY,2025
Thanedar,Shri,MI,2025
Thompson,Bennie G.,MS,2025
Thompson,Glenn,PA,2025
Thompson,Mike,CA,2025
Thune,John,SD,2026
Tiffany,Thomas P.,WI,2025
Tillis,Thomas,NC,2026
Timmons,William R.,SC,2025
Titus,Dina,NV,2025
Tlaib,Rashida,MI,2025
Tokuda,Jill N.,HI,2025
Tonko,Paul,NY,2025
Torres,Norma J.,CA,2025
Torres,Ritchie,NY,2025
Trahan,Lori,MA,2025
Tran,Derek,CA,2025
Tuberville,Tommy,AL,2026
Turner,Michael R.,OH,2025
Underwood,Lauren,IL,2025
Valadao,David G.,CA,2025
Van Drew,Jefferson,NJ,2025
Van Duyne,Beth,TX,2025
Van Epps,Matt,TN,2026
Van Hollen,Chris,MD,2026
Van Orden,Derrick,WI,2025
Vargas,Juan,CA,2025
Vasquez,Gabe,NM,2025
Veasey,Marc A.,TX,2025
Velázquez,Nydia M.,NY,2025
Vindman,Eugene Simon,VA,2025
Wagner,Ann,MO,2025
Walberg,Tim,MI,2025
Walkinshaw,James R.,VA,2025
Warner,Mark R.,VA,2026
Warnock,Raphael G.,GA,2026
Warren,Elizabeth,MA,2026
Wasserman Schultz,Debbie,FL,2025
Waters,Maxine,CA,2025
Coleman,Bonnie,NJ,2025
Weber,Randy K. Sr.,TX,2025
Webster,Daniel,FL,2025
Welch,Peter,VT,2026
Westerman,Bruce,AR,2025
Whitehouse,Sheldon,RI,2026
Whitesides,George,CA,2025
Wicker,Roger F.,MS,2026
Williams,Nikema,GA,2025
Williams,Roger,TX,2025
Wilson,Frederica S.,FL,2025
Wilson,Joe,SC,2025
Wittman,Robert J.,VA,2025
Womack,Steve,AR,2025
Wyden,Ron,OR,2026
Yakym,Rudy,IN,2025
Young,Todd,IN,2026
Zinke,Ryan K.,MT,2025
