10.6,FSSNX - Fidelity Small Cap Index Fund,Mutual FundsMutual Fund,Self,"None (or less than $1,001)","Dividends, Capital Gains",None (or less than $201)
10.7,FXNAX - Fidelity U.S. Bond Index Fund,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Dividends, Capital Gains",None (or less than $201)
11,"A.R.T. Squared LLCCompany: A.R.T. Squared LLC (Columbus, OH) Description: Art production and sales; athletic coaching.",Business EntityLimited Liability Company (LLC),Spouse,"$1,001 - $15,000",None,None (or less than $201)
12,Ohio 457 Deferred Compensation Account,Deferred CompensationDeferred Compensation - Other,Self,--,,
12.1,LifePath Index 2035 Fund,Mutual FundsMutual Fund,Self,"$500,001 - $1,000,000","Dividends, Interest, Capital Gains, Excepted Investment Fund",None (or less than $201)
12.2,Vanguard Capital Opportunity Fund,Mutual FundsMutual Fund,Self,"$50,001 - $100,000","Dividends, Capital Gains",None (or less than $201)
12.3,Fidelity Contrafund CP,Mutual FundsMutual Fund,Self,"$50,001 - $100,000","Dividends, Interest, Capital Gains, Excepted Investment Fund",None (or less than $201)
12.4,US Large Company Stock Index,Mutual FundsMutual Fund,Self,"$100,001 - $250,000","Dividends, Capital Gains",None (or less than $201)
12.5,LifePath Index 2030 FundFiler comment:  This was misnamed as a duplicate of the Fidelity Contrafund CP in the New Filer Report.,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Dividends, Interest, Capital Gains, Excepted Investment Fund",None (or less than $201)
12.6,Non-US Company Stock Fund,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Dividends, Interest, Capital Gains, Excepted Investment Fund",None (or less than $201)
12.7,LifePath Index 2040 Fund,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Dividends, Interest, Capital Gains, Excepted Investment Fund",None (or less than $201)
13,"Noxsano Series A-1 Preferred StockCompany: Noxsano Inc. (Columbus, OH) Description: Medical innovaction company focused on wound care",Corporate SecuritiesNon-Public Stock,Spouse,"$15,001 - $50,000","Dividends, Capital Gains",None (or less than $201)
14,"Boxable Series A-3 Preferred stockCompany: Boxabl (Las Vegas, NV) Description: Home construction",Corporate SecuritiesNon-Public Stock,Spouse,"$1,001 - $15,000",Dividends,None (or less than $201)
15,Index Advantage IRAProvider: Allianz,AnnuityVariable Annuity,Spouse,--,,
15.1,Index Performance Strategy 1-yr Term - Nasdaq-100 Index,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000",Capital Gains,None (or less than $201)
15.2,Index Performance Strategy 3-yr Term - Russell 2000 Index,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000",Capital Gains,None (or less than $201)
15.3,Index Performance Strategy 1-yr Term - EURO STOXX 50,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000",Capital Gains,None (or less than $201)
15.4,Index Performance Strategy 3-yr Term - S&P 500 Index,Mutual FundsMutual Fund,Spouse,"$100,001 - $250,000",Capital Gains,None (or less than $201)
