last_name,first_name,party,state,filing_year,link
Cruz,Ted,R,TX,2024,https://efdsearch.senate.gov/search/view/annual/9675a1d6-d0cc-48bb-b0ee-fb1b99c3de0d/
Cuellar,Henry,D,TX,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060039.pdf
Curtis,John R.,R,UT,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10057450.pdf
Cárdenas,Tony,D,CA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059460.pdf
D'Esposito,Anthony,R,NY,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10061470.pdf
Daines,Steve,R,MT,2024,https://efdsearch.senate.gov/search/view/annual/a9295e86-a2ec-426f-a3e7-ef5329e2a227/
Davids,Sharice,D,KS,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060299.pdf
Davidson,Warren,R,OH,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10061293.pdf
Davis,Danny K.,D,IL,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10062685.pdf
Davis,Donald G.,D,NC,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060732.pdf
De La Cruz,Monica,R,TX,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059362.pdf
DeGette,Diana,D,CO,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059101.pdf
DeLauro,Rosa L.,D,CT,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060512.pdf
DeSaulnier,Mark,D,CA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059653.pdf
Dean,Madeleine,D,PA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059700.pdf
DelBene,Suzan K.,D,WA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059847.pdf
Deluzio,Christopher R.,D,PA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10057068.pdf
DesJarlais,Scott,R,TN,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060164.pdf
Diaz-Balart,Mario,R,FL,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059030.pdf
Dingell,Debbie,D,MI,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10057106.pdf
Doggett,Lloyd,D,TX,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10057370.pdf
Donalds,Byron,R,FL,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10062779.pdf
Duarte,John S.,R,CA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/8220483.pdf
Duckworth,Tammy,D,VA,2023,https://efdsearch.senate.gov/search/view/annual/014b5055-8073-451f-8dcb-d7eec191e51a/
Duncan,Jeff,R,SC,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060221.pdf
Dunn,Neal P.,R,FL,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059499.pdf
Durbin,Richard J.,D,IL,2024,https://efdsearch.senate.gov/search/view/paper/7d9d262c-64d6-4a65-adb5-59127dae1bb0/
Edwards,Chuck,R,NC,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059419.pdf
Ellzey,Jake,R,TX,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10057509.pdf
Emmer,Tom,R,MN,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/8220484.pdf
Ernst,Joni,R,IA,2024,https://efdsearch.senate.gov/search/view/annual/db76aaa0-c2ec-49a1-8a5f-87c2ec97d22e/
Escobar,Veronica,D,TX,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059323.pdf
Eshoo,Anna G.,D,CA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/8220419.pdf
Espaillat,Adriano,D,NY,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060169.pdf
Estes,Ron,R,KS,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060012.pdf
Evans,Dwight,D,PA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060496.pdf
Ezell,Mike,R,MS,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10057629.pdf
Fallon,Pat,R,TX,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060003.pdf
Feenstra,Randy,R,IA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10061096.pdf
Ferguson,A. Drew,R,GA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060230.pdf
Fetterman,John,D,PA,2024,https://efdsearch.senate.gov/search/view/annual/9f9a065f-a7f8-4647-8e97-2c7b33519cd8/
Finstad,Brad,R,MN,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060529.pdf
Fischbach,Michelle,R,MN,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10061489.pdf
Fischer,Deb,R,NE,2024,https://efdsearch.senate.gov/search/view/annual/7a3e75e9-fdb2-48aa-8583-7558d53f2cf3/
Fitzgerald,Scott,R,WI,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059577.pdf
Fitzpatrick,Brian K.,R,PA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059165.pdf
Fleischmann,"Charles J. ""Chuck""",R,TN,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/8220420.pdf
Fletcher,Lizzie,D,TX,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10058974.pdf
Flood,Mike,R,NE,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059391.pdf
Foster,Bill,D,IL,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10057232.pdf
Foushee,Valerie P.,D,NC,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10057344.pdf
Foxx,Virginia,R,NC,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059335.pdf
Frankel,Lois,D,FL,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10057235.pdf
Franklin,C. Scott,R,FL,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10057719.pdf
Frost,Maxwell,D,FL,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10061610.pdf
Fry,Russell,R,SC,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10058966.pdf
Fulcher,Russ,R,ID,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060187.pdf
Gallego,Ruben,D,AZ,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10058791.pdf
Garamendi,John,D,CA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059805.pdf
Garbarino,Andrew R.,R,NY,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059492.pdf
Garcia,Mike,R,CA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060154.pdf
Garcia,Robert,D,CA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060154.pdf
Garcia,Sylvia R.,D,TX,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059533.pdf
Garcia,"Jesús G. ""Chuy""",D,IL,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10057643.pdf
Gillibrand,Kirsten E.,D,NY,2024,https://efdsearch.senate.gov/search/view/annual/7ae7aae6-03bb-4d7f-a956-8adcba494f99/
Gimenez,Carlos A.,R,FL,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060592.pdf
Golden,Jared F.,D,ME,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10057089.pdf
Goldman,Daniel S.,D,NY,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10057681.pdf
Gomez,Jimmy,D,CA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059944.pdf
Gonzales,Tony,R,TX,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10062766.pdf
Gonzalez,Vicente,D,TX,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/8220595.pdf
Gonzalez-Colon,Jenniffer,R,PR,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059869.pdf
Good,Bob,R,VA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060656.pdf
Gooden,Lance,R,TX,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10061400.pdf
Gosar,Paul A.,R,AZ,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/8220466.pdf
Gottheimer,Josh,D,NJ,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10057523.pdf
Graham,Lindsey,R,SC,2024,https://efdsearch.senate.gov/search/view/annual/82a8cef2-fa7e-4ce7-92d2-798715c28d5f/
