3.20,Virginia St General Obligation BondRate/Coupon: 5.0%  Matures: 06/01/2036,Government SecuritiesMunicipal Security,Spouse,"$100,001 - $250,000",Interest,"$5,001 - $15,000"
3.21,Washington County UT Sch Dist General Obligation BondRate/Coupon: 5.0%  Matures: 03/01/2030,Government SecuritiesMunicipal Security,Spouse,"$100,001 - $250,000",Interest,"$5,001 - $15,000"
3.22,Wisconsin St Revenue BondRate/Coupon: 5.0%  Matures: 07/01/2027,Government SecuritiesMunicipal Security,Spouse,"$50,001 - $100,000",Interest,"$1,001 - $2,500"
3.23,Woods Hole Mass St Revenue BondRate/Coupon: 5.0%  Matures: 03/01/2028,Government SecuritiesMunicipal Security,Spouse,"$50,001 - $100,000",Interest,"$2,501 - $5,000"
3.24,VEA - Vanguard Developed Markets Index Fund - ETF Shares,Mutual FundsExchange Traded Fund/Note,Spouse,"$100,001 - $250,000",Excepted Investment Fund,"$1,001 - $2,500"
3.25,VWO - Vanguard Emerging Markets Stock Index Fund - ETF Shares,Mutual FundsExchange Traded Fund/Note,Spouse,"$100,001 - $250,000",Excepted Investment Fund,"$2,501 - $5,000"
3.26,VO - Vanguard Mid-Cap Index Fund - ETF Shares,Mutual FundsExchange Traded Fund/Note,Spouse,"$100,001 - $250,000",Excepted Investment Fund,"$201 - $1,000"
3.27,VOO - Vanguard 500 Index Fund - ETF Shares,Mutual FundsExchange Traded Fund/Note,Spouse,"$100,001 - $250,000",Excepted Investment Fund,"$201 - $1,000"
3.28,VB - Vanguard Small-Cap Index Fund - ETF Shares,Mutual FundsExchange Traded Fund/Note,Spouse,"$100,001 - $250,000",Excepted Investment Fund,"$201 - $1,000"
4,UBS Account 1,Brokerage/Managed Account,Joint,--,,
4.1,SCHW - Charles Schwab Corporation (The) Common Stock,Corporate SecuritiesStock,Joint,"$25,000,001 - $50,000,000",Dividends,"$100,001 - $1,000,000"
4.2,"UBS Bank(New York, NY)Type: Brokerage Sweep Account, Money Market Account, Savings",Bank Deposit,Joint,"$1,000,001 - $5,000,000",Interest,"$15,001 - $50,000"
5,JPR Spc TrustFiler comment:  Disclosed asset values represent spousal beneficial interest of 25%,TrustGeneral Trust,Spouse,--,,
5.1,Merrill Lynch Acct 5,Brokerage/Managed Account,Spouse,--,,
5.1.1,"CSP III Distressed Opportunities TrustDescription: Private Investment Partnership (New York, NY)",Investment FundPrivate Equity Fund,Spouse,"$15,001 - $50,000",None,None (or less than $201)
5.1.2,"GSO Mezzanine Finance TrustDescription: Private Investment Partnership (New York, NY)",Investment FundPrivate Equity Fund,Spouse,"$1,001 - $15,000",None,None (or less than $201)
5.1.3,"GSO Mezzanine Finance Trust IIDescription: Private Investment Partnership (New York, NY)",Investment FundPrivate Equity Fund,Spouse,"$15,001 - $50,000",None,None (or less than $201)
5.1.4,"ORBIMED Healthcare Investments TrustDescription: Private Investment Partnership (New York, NY)",Investment FundPrivate Equity Fund,Spouse,"$15,001 - $50,000",Excepted Investment Fund,"$5,001 - $15,000"
5.1.5,"Merrill Lynch(New York, NY)Type: Brokerage Sweep Account",Bank Deposit,Spouse,"$50,001 - $100,000",Interest,"$1,001 - $2,500"
5.2,UBS Account 7,Brokerage/Managed Account,Spouse,--,,
5.2.1,MUB - iShares National Muni Bond ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$250,001 - $500,000",Excepted Investment Fund,"$5,001 - $15,000"
5.2.2,"UBS Bank(New York, NY)Type: Brokerage Sweep Account",Bank Deposit,Spouse,"$15,001 - $50,000",Interest,"$2,501 - $5,000"
5.2.3,VEA - Vanguard FTSE Developed Markets ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$250,001 - $500,000",Excepted Investment Fund,"$5,001 - $15,000"
5.2.4,VWO - Vanguard FTSE Emerging Markets ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$250,001 - $500,000",Excepted Investment Fund,"$5,001 - $15,000"
5.2.5,VO - Vanguard Mid-Cap ETF,Mutual FundsExchange Traded Fund/Note,Spouse,"$250,001 - $500,000",Excepted Investment Fund,"$5,001 - $15,000"
