1.5.3,"AutoTech Fund II, LPCompany: AutoTech Fund II, LP (Cleveland, Ohio) Description: Venture Capital Fund that invests in the automotive sector",Business EntityLimited Partnership (LP),Self,"$1,000,001 - $5,000,000","None, Excepted Investment Fund",
1.5.4,"Narya Capital Fund, LPCompany: Narya Capital Fund, LP (Cleveland, Ohio) Description: Venture Capital Fund Focused in Technology",Business EntityLimited Partnership (LP),Self,"$1,000,001 - $5,000,000","None, Excepted Investment Fund",
1.5.5,"eToroCompany: eToro (Tel Aviv, Israel) Description: Social media trading platform",Corporate SecuritiesNon-Public Stock,Self,"$500,001 - $1,000,000",None,None (or less than $201)
1.5.6,"ImmunaiCompany: Immunai (Tel Aviv, Israel) Description: Healthcare artificial intelligence",Corporate SecuritiesNon-Public Stock,Self,"$500,001 - $1,000,000",None,None (or less than $201)
1.6,"The Moreno Family, L.P.Company: The Moreno Family, L.P. (Westlake, Ohio) Description: Family Holding Company",Business EntityLimited Partnership (LP),Self,--,,
1.6.1,"Aguila Calva Properties, LLCCompany: Aguila Calva Properties, LLC (Westlake, Ohio) Description: Real Estate Holding Company",Business EntityLimited Liability Company (LLC),Self,--,,
1.6.1.1,"Residential Real Estate Description: Washington D.C. Condo (Washington D.C, D.C.) Filer comment:  Valuation reflects the total value of the asset. Filer owns 1%.",Real EstateResidential,Self,"$500,001 - $1,000,000",None,None (or less than $201)
1.6.2,"Butterfly Properties NYC, LLCCompany: Butterfly Properties NYC, LLC (Westlake, Ohio) Description: Real Estate Holding Company",Business EntityLimited Liability Company (LLC),Self,--,,
1.6.2.1,"Residential Real Estate Description: Eastchester, NY Single Family Home (Eastchester, New York) Filer comment:  Valuation reflects the total value of the asset.  Filer owns 1%.",Real EstateResidential,Self,"$1,000,001 - $5,000,000",None,None (or less than $201)
1.6.3,"Pangolin Properties, LLCCompany: Pangolin Properties, LLC (Westlake, Ohio) Description: Real Estate Holding Company",Business EntityLimited Liability Company (LLC),Self,--,,
1.6.3.1,"Residential Real Estate Description: Dixon, CA Single Family Home (Dixon, California) Filer comment:  Valuation reflects the total value of the asset.  Filer owns 1%.",Real EstateResidential,Self,"$500,001 - $1,000,000",None,None (or less than $201)
1.6.4,"Kylo Properties LLCCompany: Kylo Properties LLC (Avon, Ohio) Description: Holding company for residential real estate investments",Business EntityLimited Liability Company (LLC),Self,--,,
1.6.4.1,"Residential Real EstateDescription: Single Family Home (Avon, Ohio) Filer comment:  Valuation reflects total asset value. Filer owns 1%.",Real EstateResidential,Self,"$1,000,001 - $5,000,000",Rent/Royalties,"$15,001 - $50,000"
1.6.5,"Kylo Properties Columbus LLCCompany: Kylo Properties Columbus LLC (Westerville, Ohio) Description: Holding Company for Real Estate Filer comment:  Valuation reflects the total value of the asset. Filer owns 1%.",Business EntityLimited Liability Company (LLC),Self,--,,
1.6.5.1,"Single Family Home Description: Single Family Home (Westerville, Ohio) Filer comment:  Valuation reflects the total value of the asset.  Filer owns 1%.",Real EstateResidential,Self,"$1,000,001 - $5,000,000",None,None (or less than $201)
1.6.6,"Aguila Calva Properties Ohio LLCCompany: Aguila Calva Properties Ohio LLC (Westlake, OH) Description: Real Estate Holding Company Filer comment:  Valuation reflects the total value of the asset. Filer owns 1%.",Business EntityLimited Liability Company (LLC),Self,--,,
1.6.6.1,"Residential Real Estate Description: Single Family Home (Westlake, OH) Filer comment:  Valuation reflects the total value of the asset. Filer owns 1%.",Real EstateResidential,Self,"$500,001 - $1,000,000",None,None (or less than $201)
1.6.7,"Live More LLC Company: Live More LLC (Coconut Grove, FL) Description: Real Estate Holding Company Filer comment:  Valuation reflects the total value of the asset. Filer owns 1%.",Business EntityLimited Liability Company (LLC),Self,--,,
1.6.7.1,"CondoDescription: Condo (Coconut Grove, Florida) Filer comment:  Valuation reflects the total value of the asset. Filer owns 1%.",Real EstateResidential,Self,"$5,000,001 - $25,000,000",None,None (or less than $201)
1.7,"Historic Investment Fund 2019 (QP), LLCCompany: Historic Investment Fund 2019 (QP), LLC (Cleveland, Ohio) Description: Real Estate Holding Company",Business EntityLimited Liability Company (LLC),Self,"$1,000,001 - $5,000,000",Excepted Investment Fund,"$1,001 - $2,500"
