12.5,JNK - SPDR Bloomberg Barclays High Yield Bond ETF,Mutual FundsExchange Traded Fund/Note,Joint,"None (or less than $1,001)",Excepted Investment Fund,"$201 - $1,000"
12.6,VTI - Vanguard Total Stock Market Index Fund ETF Shares,Mutual FundsExchange Traded Fund/Note,Joint,"$15,001 - $50,000",Excepted Investment Fund,"$201 - $1,000"
12.7,VTV - Vanguard Value ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$100,001 - $250,000",Excepted Investment Fund,"$2,501 - $5,000"
12.8,IYY - iShares Dow Jones U.S. ETF,Mutual FundsExchange Traded Fund/Note,Joint,"None (or less than $1,001)",Excepted Investment Fund,"$5,001 - $15,000"
12.9,VUG - Vanguard Growth ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$100,001 - $250,000",Excepted Investment Fund,"$201 - $1,000"
12.10,FZFXX - Fidelity Treasury Money Market Fund,Mutual FundsMutual Fund,Joint,"$1,001 - $15,000",Excepted Investment Fund,None (or less than $201)
12.11,FDRXX - Fidelity Government Cash Reserves,Mutual FundsMutual Fund,Joint,"$1,001 - $15,000",Excepted Investment Fund,"$1,001 - $2,500"
12.12,VV - Vanguard Large-Cap ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$100,001 - $250,000",Excepted Investment Fund,"$1,001 - $2,500"
12.13,VBK - Vanguard Small-Cap Growth ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$50,001 - $100,000",Excepted Investment Fund,"$5,001 - $15,000"
12.14,ITA - iShares U.S. Aerospace & Defense ETF,Mutual FundsExchange Traded Fund/Note,Joint,"None (or less than $1,001)",Excepted Investment Fund,"$1,001 - $2,500"
12.15,VEA - Vanguard Developed Markets Index Fund - ETF Shares,Mutual FundsExchange Traded Fund/Note,Joint,"$100,001 - $250,000",Excepted Investment Fund,"$5,001 - $15,000"
12.16,VBR - Vanguard Small-Cap Value Index Fund - ETF Shares,Mutual FundsExchange Traded Fund/Note,Joint,"$50,001 - $100,000",Excepted Investment Fund,"$1,001 - $2,500"
12.17,VTEB - Vanguard Tax-Exempt Bond Index Fund - ETF Shares,Mutual FundsExchange Traded Fund/Note,Joint,"$250,001 - $500,000",Excepted Investment Fund,"$15,001 - $50,000"
12.18,DFIEX - International Core Equity 2 Portfolio - Institutional Class,Mutual FundsMutual Fund,Joint,"None (or less than $1,001)",Excepted Investment Fund,"$201 - $1,000"
13,TIAA-CREF Retirement Plan - Phillips Exeter Academy,"Retirement Plans401(k), 403(b), or other Defined Contribution Plan.",Spouse,--,,
