last_name,first_name,party,state,chamber,congress_status,owner,filing_year,link,triggered_terms,matched_asset_names
Brownley,Julia,D,CA,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10075256.pdf,,
Buchanan,Vern,R,FL,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10078132.pdf,,
Bucshon,Larry,R,IN,house,past,False,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059502.pdf,,
Budd,Ted,R,NC,senate,current,False,2026,https://efdsearch.senate.gov/search/view/annual/191f9640-6a2c-4534-a395-567467035bef/,,
Budzinski,Nikki,D,IL,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10077489.pdf,,
Burchett,Tim,R,TN,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10075225.pdf,,
Burgess,Michael C.,R,TX,house,past,False,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060806.pdf,,
Burlison,Eric,R,MO,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10074953.pdf,,
Bush,Cori,D,MO,house,past,False,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10061337.pdf,,
Butler,Laphonza R.,D,CA,senate,past,False,2024,https://efdsearch.senate.gov/search/view/annual/ede91fb4-df19-4993-bf20-c86b03143458/,,
Bynum,Janelle S.,D,OR,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10075640.pdf,,
Calvert,Ken,R,CA,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10075757.pdf,,
Cammack,Kat,R,FL,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10081635.pdf,,
Cantwell,Maria,D,WA,senate,current,False,2026,https://efdsearch.senate.gov/search/view/annual/46954eab-05b2-4f62-a794-5308f5331aa8/,,
Capito,Shelley Moore,R,WV,senate,current,False,2026,https://efdsearch.senate.gov/search/view/annual/f9c92717-694d-4ba6-aa3d-f214b63fa783/,,
Caraveo,Yadira,D,CO,house,past,False,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10057540.pdf,,
Carbajal,Salud O.,D,CA,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10077955.pdf,,
Cardin,Benjamin L.,D,MD,senate,past,False,2024,https://efdsearch.senate.gov/search/view/annual/3e3a7b84-38b9-49ab-80a8-89622e29b6f8/,,
Carey,Mike,R,OH,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10081577.pdf,,
Carl,Jerry L.,R,AL,house,past,False,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060508.pdf,,
Carper,Thomas R.,D,DE,senate,past,False,2024,https://efdsearch.senate.gov/search/view/annual/04db916f-2633-4633-ac3d-3fbda2e9c134/,,
Carson,André,D,IN,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10077495.pdf,,
Carter,"Earl L. ""Buddy""",R,GA,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10076245.pdf,,
Carter,Erica,D,TX,house,past,False,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10057735.pdf,,
Carter,John R.,R,TX,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10077379.pdf,,
Carter,Troy A.,D,LA,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/9116155.pdf,,
Cartwright,Matt,D,PA,house,past,False,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059028.pdf,,
Casar,Greg,D,TX,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10076038.pdf,,
Case,Ed,D,HI,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10074497.pdf,,
Casey,Robert P.,D,PA,senate,past,False,2024,https://efdsearch.senate.gov/search/view/annual/f80907e1-7f43-4db1-8dda-28d885483742/,,
Cassidy,Bill,R,LA,senate,current,False,2026,https://efdsearch.senate.gov/search/view/annual/87cbe5f2-ea6d-470a-982b-684f92116e8f/,,
Casten,Sean,D,IL,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10076925.pdf,,
Castor,Kathy,D,FL,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10076959.pdf,,
Castro,Joaquin,D,TX,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/9116275.pdf,,
Chavez-DeRemer,Lori,R,OR,house,past,False,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060899.pdf,,
Cherfilus-McCormick,Sheila,D,FL,house,past,False,2024,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2024/9115612.pdf,,
Chu,Judy,D,CA,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10077247.pdf,,
Ciscomani,Juan,R,AZ,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10075962.pdf,,
Clark,Katherine M.,D,MA,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10075831.pdf,,
Clarke,Yvette D.,D,NY,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10078658.pdf,,
Cleaver,Emanuel,D,MO,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10077708.pdf,,
Cline,Ben,R,VA,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10081459.pdf,,
Cloud,Michael,R,TX,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10077004.pdf,,
Clyburn,James E.,D,SC,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10076090.pdf,,
Clyde,Andrew S.,R,GA,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10077683.pdf,,
Cohen,Steve,D,TN,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10074620.pdf,,
Cole,Tom,R,OK,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10077471.pdf,,
Coleman,Bonnie,D,NJ,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/9116156.pdf,,
Collins,Susan M.,R,ME,senate,current,False,2026,https://efdsearch.senate.gov/search/view/annual/2cf70262-d7c1-42e3-b171-a9a81976d919/,,
Comer,James,R,KY,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10077651.pdf,,
Conaway,Herbert C.,D,NJ,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10081464.pdf,,
Connolly,Gerald E.,D,VA,house,past,False,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10057570.pdf,,
Coons,Christopher A.,D,DE,senate,current,False,2026,https://efdsearch.senate.gov/search/view/annual/1a0ba218-aebd-4e7c-a4b8-faa7b157a48a/,,
Cornyn,John,R,TX,senate,current,False,2026,https://efdsearch.senate.gov/search/view/annual/4eb7b58b-17db-4883-86d0-5f39cc623c00/,,
Correa,J. Luis,D,CA,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10077252.pdf,,
Cortez Masto,Catherine,D,NV,senate,current,False,2026,https://efdsearch.senate.gov/search/view/annual/aa714890-8d13-43b1-b78a-ce17103a8e4d/,,
Costa,Jim,D,CA,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10077120.pdf,,
Cotton,Tom,R,AR,senate,current,False,2026,https://efdsearch.senate.gov/search/view/annual/4223f1f4-aeca-4d86-b7ef-47588e0e4575/,,
Courtney,Joe,D,CT,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10076814.pdf,,
Craig,Angie,D,MN,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/9116157.pdf,,
Cramer,Kevin,R,ND,senate,current,False,2026,https://efdsearch.senate.gov/search/view/annual/c7a06cfe-bf3f-4692-928a-f7507f42a539/,,
Crane,Elijah,R,AZ,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10076777.pdf,,
Crank,Jeff,R,CO,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10077119.pdf,,
Crapo,Mike,R,ID,senate,current,False,2026,https://efdsearch.senate.gov/search/view/annual/b6a7bfb2-71d6-4b67-b3bd-8b36f895655e/,,
Crawford,"Eric A. ""Rick""",R,AR,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10075175.pdf,,
Crenshaw,Dan,R,TX,house,current,False,2024,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2024/10067491.pdf,,
Crockett,Jasmine,D,TX,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10074813.pdf,,
Crow,Jason,D,CO,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10075265.pdf,,
Cuellar,Henry,D,TX,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10077167.pdf,,
Curtis,John R.,R,UT,senate,current,False,2026,https://efdsearch.senate.gov/search/view/annual/dbac9cff-e9f0-461a-8b23-8c0280e09639/,,
Cárdenas,Tony,D,CA,house,past,False,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059460.pdf,,
D'Esposito,Anthony,R,NY,house,past,False,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10061470.pdf,,
Daines,Steve,R,MT,senate,current,False,2026,https://efdsearch.senate.gov/search/view/annual/97f579ad-e413-4e93-9ed3-7866a7a324d9/,,
Davids,Sharice,D,KS,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10077176.pdf,,
Davidson,Warren,R,OH,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10077347.pdf,,
Davis,Danny K.,D,IL,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/9116220.pdf,,
Davis,Donald G.,D,NC,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10078601.pdf,,
De La Cruz,Monica,R,TX,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10075630.pdf,,
DeGette,Diana,D,CO,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10075330.pdf,,
DeLauro,Rosa L.,D,CT,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10078564.pdf,,
DeSaulnier,Mark,D,CA,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10078110.pdf,,
Dean,Madeleine,D,PA,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10077397.pdf,,
DelBene,Suzan K.,D,WA,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10076133.pdf,,
Delaney,April,D,MD,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10074769.pdf,,
Deluzio,Christopher R.,D,PA,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10074671.pdf,,
DesJarlais,Scott,R,TN,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10077566.pdf,,
Dexter,Maxine,D,OR,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10077553.pdf,,
Diaz-Balart,Mario,R,FL,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10076701.pdf,,
Dingell,Debbie,D,MI,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10075123.pdf,,
Doggett,Lloyd,D,TX,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10074933.pdf,,
Downing,Troy,R,MT,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10078011.pdf,,
Duarte,John S.,R,CA,house,past,False,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/8220483.pdf,,
